鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,建物,臺北市士林區忠誠路二段241~270號,0.0,住,,,1090122,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780524,117.75999999999999,3,2,2,有,有,有,55000,467,,0.0,0,,RPPNMLRLJHPFFEA28CC
內湖區,建物,臺北市內湖區文德路90巷1~30號,0.0,住,,,1090108,土地0建物1車位0,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0961226,99.99,0,0,0,無,有,無,35000,350,,0.0,0,,RPPNMLTLJHPFFCA28CC
內湖區,建物,臺北市內湖區康寧路三段181~210號,0.0,商,,,1090113,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041030,68.49000000000001,2,1,1,有,無,有,30000,438,,0.0,0,,RPTNMLKMJHPFFCA87CC
中山區,建物,臺北市中山區中山北路二段121~150號,0.0,商,,,1090117,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970611,152.27,3,2,2,有,無,有,65000,427,,0.0,0,,RPUNMLKMJHPFFCA97CC
中山區,建物,臺北市中山區新生北路二段28巷1~30號,0.0,其他,,,1090117,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780517,140.45,3,2,2,有,無,有,51010,363,,0.0,0,,RPWOMLKMJHPFFCA28CC
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖三路271~300號,220.05,工,,,1081222,土地1建物2車位2,二層,6,辦公商業大樓,工業用,鋼筋混凝土造,0920730,687.28,0,0,0,無,無,無,200000,291,坡道平面,75.9,0,公設含車位坪數,RPOPMLKMJHPFFCA57CC
中山區,車位,臺北市中山區南京東路三段89巷27弄1~30號,0.0,住,,,1090107,土地0建物0車位1,,,其他,,,,45.66,0,0,0,有,有,無,4000,,坡道平面,45.66,4000,依車位所登記公設門牌申報。租金含管理費。,RPPPMLKMJHPFFCA67CC
內湖區,建物,臺北市內湖區瑞光路571~600號,0.0,工,,,1081219,土地0建物1車位1,四層,9,廠辦,工業用,鋼筋混凝土造,0880806,273.35,0,0,0,無,有,無,93538,378,坡道平面,33.9,0,,RPSPMLKMJHPFFCA97CC
內湖區,建物,臺北市內湖區內湖路一段301~330號,0.0,工,,,1081211,土地0建物1車位3,三層,10,辦公商業大樓,工業用,鋼筋混凝土造,0930225,513.65,0,0,0,無,有,無,170000,331,坡道平面,0.0,0,,RPTPMLKMJHPFFCA08CC
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,商,,,1090102,土地0建物1車位0,九層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,45.09,1,1,1,有,有,有,35000,776,,0.0,0,,RPQQMLKMJHPFFCA87CC
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,1090122,土地0建物1車位0,六層,14,辦公商業大樓,商業用,鋼筋混凝土造,0901112,79.18,3,1,1,有,有,有,35000,442,,0.0,0,,RPRQMLKMJHPFFCA97CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1090114,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,120.75999999999999,3,1,1,有,有,有,53000,439,,0.0,0,,RPUQMLKMJHPFFCA28CC
